Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(64292, 120940, 19999)",,,Soma,,864691134149139743,,Point,
"(63771, 121692, 19946)",,,Soma,,864691134149139743,,Point,
"(64112, 121530, 19970)",,,Soma,,864691134149139743,,Point,
"(65110, 121304, 20058)",,,Soma,,864691135716006150,,Point,
"(65202, 121092, 20094)",,,Soma,,864691135716006150,,Point,
"(82581, 119429, 20098)",,,Spine,,864691135158987762,,Point,
"(81936, 119486, 20074)",,,Spine,,864691135158987762,,Point,
"(83902, 119570, 20134)",,,Spine,,864691135617699731,,Point,
"(83756, 119264, 20127)",,,Spine,,864691135617699731,,Point,
"(64288, 121178, 20138)",,,Soma,,864691134900263749,,Point,
"(64000, 121500, 20143)",,,Soma,,864691134900263749,,Point,
"(76080, 120848, 19974)",,,Spine,,864691135808441425,,Point,
"(76490, 120758, 20004)",,,Unsure,,864691135808441425,,Point,
"(64764, 121146, 20039)",,,Soma,,864691135714921734,,Point,
"(64432, 120784, 20023)",,,Soma,,864691135714921734,,Point,
"(64688, 121070, 20164)",,,Soma,,864691134900273477,,Point,
"(64490, 121146, 20155)",,,Soma,,864691134900273477,,Point,
"(64192, 122820, 20130)",,,Soma,,864691134687338638,,Point,
"(63908, 122796, 20120)",,,Soma,,864691134687338638,,Point,
"(67151, 122567, 20196)",,,Shaft,,864691135716690182,,Point,
"(66700, 121796, 20107)",,,Shaft,,864691135716690182,,Point,
"(63034, 122508, 19981)",,,Soma,,864691136841420772,,Point,
"(62888, 122304, 19970)",,,Soma,,864691136841420772,,Point,
"(72216, 121204, 19941)",,,Spine,,864691135995946715,,Point,
"(70362, 121872, 19959)",,,Spine,,864691135995946715,,Point,
"(76172, 126012, 20063)",,,Spine,,864691134102823820,,Point,
"(61182, 124342, 20105)",,,Spine,,864691133316518070,,Point,
"(70712, 123072, 20250)",,,Spine,,864691133500444581,,Point,
"(70589, 123328, 20251)",,,Spine,,864691133500453541,,Point,
"(66570, 117194, 20033)",,,Spine,,864691133553829716,,Point,
"(76830, 120452, 19919)",,,Spine,,864691133609705039,,Point,
"(61288, 126870, 20087)",,,Shaft,,864691133676949382,,Point,
"(73506, 120644, 19886)",,,Spine,,864691133799403816,,Point,
"(72898, 126028, 19966)",,,Shaft,,864691133800937570,,Point,
"(84686, 119482, 20140)",,,Spine,,864691133807855113,,Point,
"(70630, 125056, 20045)",,,Spine,,864691133974085768,,Point,
"(67998, 116504, 20109)",,,Unsure,,864691133812267437,,Point,
"(62894, 122466, 19995)",,,Soma,,864691133841927010,,Point,
"(74174, 112712, 19799)",,,Spine,,864691133855397114,,Point,
"(71840, 124976, 19995)",,,Shaft,,864691133935641191,,Point,
"(72461, 125376, 19982)",,,Unsure,,864691133935784551,,Point,
"(73056, 124496, 20358)",,,Shaft,,864691133800990306,,Point,
"(72556, 125838, 19933)",,,Spine,,864691134009255614,,Point,
"(76135, 125975, 20065)",,,Spine,,864691134034849827,,Point,
"(70928, 121488, 19944)",,,Shaft,,864691134100541268,,Point,
"(70140, 124540, 19986)",,,Spine,,864691134639117200,,Point,
"(72093, 114407, 19926)",,,Spine,,864691133268112138,,Point,
"(62692, 123117, 20108)",,,Shaft,,864691134632739785,,Point,
"(65371, 121800, 20202)",,,Soma,,864691134116884572,,Point,
"(67533, 116717, 20087)",,,Shaft,,864691134582702370,,Point,
"(63976, 120157, 20012)",,,Soma,,864691134347614363,,Point,
"(74964, 112080, 19750)",,,Spine,,864691134358101648,,Point,
"(63898, 119191, 19965)",,,Shaft,,864691134370919579,,Point,
"(65960, 121860, 20194)",,,Soma,,864691134372064397,,Point,
"(71860, 123969, 20362)",,,Spine,,864691134380245153,,Point,
"(63507, 122477, 19953)",,,Soma,,864691134495256252,,Point,
"(67846, 116910, 20101)",,,Spine,,864691134535086430,,Point,
"(67314, 116682, 19985)",,,Spine,,864691134535102046,,Point,
"(70917, 121627, 20014)",,,Spine,,864691134561660712,,Point,
"(67039, 116842, 19993)",,,Shaft,,864691134582843938,,Point,
"(63931, 121025, 19974)",,,Soma,,864691134148887071,,Point,
"(68330, 116174, 20159)",,,Shaft,,864691134582844706,,Point,
"(63358, 122790, 19985)",,,Soma,,864691134632431561,,Point,
"(62114, 123874, 20120)",,,Neck,,864691134632437193,,Point,
"(64080, 123402, 20091)",,,Spine,,864691134632442057,,Point,
"(63330, 122692, 20076)",,,Soma,,864691134632704713,,Point,
"(65345, 117277, 19949)",,,Shaft,,864691135518545664,,Point,
"(63056, 122950, 20118)",,,Shaft,,864691134632909769,,Point,
"(62976, 122752, 20114)",,,Shaft,,864691134632988617,,Point,
"(63436, 121624, 19946)",,,Soma,,864691134149116447,,Point,
"(71686, 123562, 20294)",,,Spine,,864691134639167888,,Point,
"(59516, 125750, 20040)",,,Shaft,,864691135108623286,,Point,
"(71726, 124338, 20341)",,,Spine,,864691134639876752,,Point,
"(63850, 117173, 19929)",,,Shaft,,864691134837482579,,Point,
"(74575, 120928, 19962)",,,Spine,,864691134643231489,,Point,
"(75129, 120956, 19949)",,,Spine,,864691134643746561,,Point,
"(75664, 120730, 20000)",,,Spine,,864691134643892225,,Point,
"(70096, 121520, 19944)",,,Spine,,864691134647573164,,Point,
"(64686, 124854, 20076)",,,Shaft,,864691134689802126,,Point,
"(71122, 116014, 19971)",,,Spine,,864691134713809839,,Point,
"(70714, 115716, 19964)",,,Shaft,,864691134713964975,,Point,
"(71224, 115268, 19932)",,,Spine,,864691134714340783,,Point,
"(70610, 116008, 20064)",,,Spine,,864691134714347951,,Point,
"(72654, 114226, 19899)",,,Shaft,,864691135052642113,,Point,
"(80540, 120288, 20049)",,,Shaft,,864691135054406645,,Point,
"(71136, 121270, 19892)",,,Spine,,864691134846699271,,Point,
"(64058, 119043, 19961)",,,Shaft,,864691134876412846,,Point,
"(63731, 119661, 19964)",,,Shaft,,864691134876559278,,Point,
"(63872, 120308, 20024)",,,Soma,,864691134900061253,,Point,
"(64674, 124102, 20103)",,,Shaft,,864691134900755781,,Point,
"(66180, 121504, 20197)",,,Unsure,,864691134906686983,,Point,
"(60420, 125878, 20051)",,,Spine,,864691134960219475,,Point,
"(60134, 125772, 20052)",,,Shaft,,864691134960224851,,Point,
"(71876, 115316, 19909)",,,Spine,,864691135014527788,,Point,
"(68590, 115366, 20206)",,,Spine,,864691134755090844,,Point,
"(79620, 120304, 20005)",,,Spine,,864691135064909620,,Point,
"(63356, 121764, 20060)",,,Soma,,864691135100473782,,Point,
"(73710, 121178, 19974)",,,Spine,,864691135255264993,,Point,
"(61109, 124600, 20091)",,,Shaft,,864691135108340662,,Point,
"(61476, 124208, 20095)",,,Spine,,864691135108358070,,Point,
"(79574, 120705, 20021)",,,Unsure,,864691134331291298,,Point,
"(75403, 121168, 19996)",,,Spine,,864691135156877284,,Point,
"(83446, 119230, 20103)",,,Spine,,864691135158541810,,Point,
"(73510, 113212, 19867)",,,Spine,,864691135244074315,,Point,
"(73194, 113982, 19862)",,,Spine,,864691135245146699,,Point,
"(72999, 113953, 19889)",,,Spine,,864691135245153867,,Point,
"(73142, 113430, 19858)",,,Shaft,,864691135255037153,,Point,
"(74410, 111886, 19739)",,,Spine,,864691135255749859,,Point,
"(76842, 120577, 19993)",,,Spine,,864691135077934426,,Point,
"(75168, 112382, 19734)",,,Spine,,864691135256423907,,Point,
"(83161, 120044, 20127)",,,Spine,,864691135385765811,,Point,
"(83154, 119764, 20130)",,,Spine,,864691135385783475,,Point,
"(74572, 112060, 19755)",,,Shaft,,864691135505152873,,Point,
"(63359, 122303, 20088)",,,Soma,,864691135512992000,,Point,
"(63712, 122078, 20139)",,,Soma,,864691135512992256,,Point,
"(64825, 122665, 20161)",,,Soma,,864691135512993280,,Point,
"(64072, 118540, 19950)",,,Shaft,,864691135515068494,,Point,
"(75056, 112452, 19741)",,,Spine,,864691133208296820,,Point,
"(64152, 123048, 20115)",,,Soma,,864691134339693631,,Point,
"(72218, 124054, 20328)",,,Shaft,,864691136115812177,,Point,
"(70156, 124082, 20031)",,,Shaft,,864691134639118224,,Point,
"(66958, 121893, 20082)",,,Shaft,,864691135572464972,,Point,
"(67854, 116452, 20117)",,,Shaft,,864691135536470121,,Point,
"(68332, 115846, 20198)",,,Spine,,864691135536573289,,Point,
"(68052, 122642, 20197)",,,Shaft,,864691135537600873,,Point,
"(71180, 124476, 19991)",,,Spine,,864691135537612649,,Point,
"(66611, 117012, 19987)",,,Shaft,,864691135572093260,,Point,
"(69220, 114876, 20356)",,,Spine,,864691135572102476,,Point,
"(66511, 117192, 20031)",,,Spine,,864691135572104268,,Point,
"(71300, 115628, 19967)",,,Shaft,,864691135572154188,,Point,
"(69056, 123726, 19994)",,,Spine,,864691135572212044,,Point,
"(71930, 124980, 19992)",,,Shaft,,864691135572466252,,Point,
"(68054, 122248, 20065)",,,Shaft,,864691135533460073,,Point,
"(68594, 122772, 20203)",,,Shaft,,864691135572519756,,Point,
"(75023, 121078, 19960)",,,Neck,,864691135579133004,,Point,
"(70857, 121541, 19956)",,,Shaft,,864691135618485139,,Point,
"(68200, 116554, 20010)",,,Shaft,,864691135675646085,,Point,
"(70590, 116072, 19948)",,,Spine,,864691135675646341,,Point,
"(70154, 121520, 19985)",,,Spine,,864691135675883909,,Point,
"(64873, 121794, 20007)",,,Soma,,864691135716067334,,Point,
"(68430, 121990, 20010)",,,Spine,,864691135716892678,,Point,
"(66126, 121858, 20181)",,,Soma,,864691135716685830,,Point,
"(72505, 114194, 19887)",,,Shaft,,864691135534179689,,Point,
"(69418, 123264, 19981)",,,Spine,,864691135533432681,,Point,
"(65021, 121085, 20073)",,,Soma,,864691135524694377,,Point,
"(63552, 122426, 20119)",,,Soma,,864691135714662662,,Point,
"(74523, 112316, 19835)",,,Spine,,864691135679601029,,Point,
"(73004, 113604, 19838)",,,Spine,,864691132315145460,,Point,
"(69649, 116142, 19973)",,,Shaft,,864691135679586181,,Point,
"(69390, 115234, 20303)",,,Shaft,,864691135679143301,,Point,
"(69082, 114852, 20297)",,,Spine,,864691135679133317,,Point,
"(69730, 114398, 20366)",,,Spine,,864691135679135877,,Point,
"(64165, 120690, 20064)",,,Soma,,864691135714705414,,Point,
"(69288, 122782, 20040)",,,Spine,,864691135681016197,,Point,
"(69078, 122646, 20032)",,,Spine,,864691135681165189,,Point,
"(72294, 124438, 20351)",,,Spine,,864691135677492357,,Point,
"(69316, 121842, 20000)",,,Shaft,,864691135533405289,,Point,
"(63388, 122220, 19951)",,,Soma,,864691135715061510,,Point,
"(65670, 121802, 20083)",,,Soma,,864691135715080966,,Point,
"(62966, 122168, 20032)",,,Soma,,864691135715744262,,Point,
"(64418, 120816, 20099)",,,Soma,,864691135715974406,,Point,
"(64314, 121949, 20184)",,,Soma,,864691135716053766,,Point,
"(71166, 123392, 20317)",,,Spine,,864691135678026885,,Point,
"(69422, 121968, 20009)",,,Spine,,864691135676020101,,Point,
"(70742, 123700, 20271)",,,Spine,,864691135676033413,,Point,
"(65004, 122242, 20208)",,,Soma,,864691135716321798,,Point,
"(73686, 113120, 19836)",,,Shaft,,864691135527336297,,Point,
"(81532, 119988, 20040)",,,Spine,,864691136144832407,,Point,
"(71229, 121491, 19956)",,,Shaft,,864691136144937879,,Point,
"(76220, 126026, 20070)",,,Spine,,864691136118931793,,Point,
"(77638, 120852, 20016)",,,Spine,,864691135765800385,,Point,
"(77838, 120915, 19957)",,,Spine,,864691135766232513,,Point,
"(61680, 127159, 20085)",,,Spine,,864691135941514887,,Point,
"(61161, 126794, 20072)",,,Shaft,,864691135941531271,,Point,
"(72292, 123820, 20357)",,,Spine,,864691135979495899,,Point,
"(74034, 121064, 19910)",,,Spine,,864691135981664731,,Point,
"(69640, 121498, 19960)",,,Spine,,864691135998135515,,Point,
"(74018, 120918, 19941)",,,Spine,,864691135998271963,,Point,
"(71944, 123880, 20334)",,,Shaft,,864691135999094491,,Point,
"(63008, 121430, 19975)",,,Soma,,864691136025317441,,Point,
"(73694, 121178, 19957)",,,Shaft,,864691136227702865,,Point,
"(59388, 126052, 20045)",,,Spine,,864691136111699281,,Point,
"(59402, 125878, 20007)",,,Spine,,864691136111700049,,Point,
"(84128, 119660, 20132)",,,Spine,,864691136112066385,,Point,
"(61522, 126838, 20084)",,,Spine,,864691136112993105,,Point,
"(72544, 125652, 19994)",,,Spine,,864691136115691601,,Point,
"(75148, 120804, 19950)",,,Spine,,864691136115801937,,Point,
"(75844, 121050, 19969)",,,Spine,,864691136118907473,,Point,
"(69200, 121668, 19949)",,,Spine,,864691135533401193,,Point,
"(65442, 117390, 19967)",,,Shaft,,864691135518012160,,Point,
"(73016, 114004, 19922)",,,Spine,,864691135760635329,,Point,
"(72092, 121278, 19901)",,,Spine,,864691135998309339,,Point,
"(75147, 126219, 20063)",,,Spine,,864691136130472529,,Point,
"(76246, 125974, 20116)",,,Spine,,864691136136292177,,Point,
"(74406, 126118, 20043)",,,Spine,,864691136284789655,,Point,
"(75704, 126168, 20048)",,,Shaft,,864691136284894103,,Point,
"(56536, 126238, 20031)",,,Spine,,864691136327318935,,Point,
"(71878, 125174, 20025)",,,Spine,,864691136371144072,,Point,
"(82260, 119766, 20042)",,,Spine,,864691136380321646,,Point,
"(79252, 120602, 19994)",,,Shaft,,864691136381082990,,Point,
"(82352, 119700, 20048)",,,Spine,,864691136382772590,,Point,
"(73726, 126088, 20018)",,,Spine,,864691136521606801,,Point,
"(60926, 126154, 20057)",,,Spine,,864691136806885860,,Point,
"(59916, 125952, 20003)",,,Spine,,864691136806895076,,Point,
"(63596, 116814, 19902)",,,Shaft,,864691136806911972,,Point,
"(61482, 127885, 20119)",,,Spine,,864691136806925028,,Point,
"(72708, 125320, 20008)",,,Spine,,864691136807163876,,Point,
"(72996, 126148, 19972)",,,Shaft,,864691136821442020,,Point,
"(69720, 123372, 20185)",,,Spine,,864691136822516452,,Point,
"(73332, 126272, 19994)",,,Shaft,,864691136822524644,,Point,
"(72576, 124996, 20058)",,,Spine,,864691136822569188,,Point,
"(58821, 125867, 20064)",,,Spine,,864691136835217380,,Point,
"(78998, 121014, 19992)",,,Spine,,864691136144767639,,Point,
"(68264, 123000, 20020)",,,Spine,,864691136841490404,,Point,
