hks_t0,hks_t1,hks_t2,hks_t3,hks_t4,hks_t5,hks_t6,hks_t7,hks_t8,hks_t9,hks_t10,hks_t11,hks_t12,hks_t13,hks_t14,hks_t15,hks_t16,hks_t17,hks_t18,hks_t19,hks_t20,hks_t21,hks_t22,hks_t23,hks_t24,hks_t25,hks_t26,hks_t27,hks_t28,hks_t29,hks_t30,hks_t31,target_label
-14.8603735,-14.886021,-14.916819,-14.953717,-14.997801,-15.0502825,-15.112492,-15.185837,-15.271732,-15.3715,-15.486211,-15.6164875,-15.762293,-15.922756,-16.096138,-16.280031,-16.471827,-16.669289,-16.870974,-17.076256,-17.285017,-17.497244,-17.71278,-17.931288,-18.152369,-18.375732,-18.601341,-18.82949,-19.060753,-19.295816,-19.53524,-19.779099,Soma
-14.867511,-14.893176,-14.923998,-14.960927,-15.00505,-15.057582,-15.119853,-15.193271,-15.279244,-15.379081,-15.493815,-15.6240015,-15.769477,-15.929151,-16.100948,-16.281986,-16.469059,-16.659286,-16.85064,-17.042078,-17.233341,-17.424578,-17.616108,-17.808315,-18.001621,-18.196507,-18.393543,-18.593418,-18.796955,-19.005167,-19.219406,-19.441633,Soma
-14.862355,-14.887886,-14.918554,-14.955314,-14.999253,-15.051598,-15.113694,-15.186978,-15.27291,-15.372872,-15.488019,-15.619078,-15.766123,-15.92837,-16.104084,-16.290697,-16.485212,-16.684753,-16.887094,-17.090878,-17.29554,-17.501097,-17.707956,-17.916763,-18.12822,-18.3428,-18.560461,-18.780416,-19.001144,-19.220676,-19.437174,-19.649616,Soma
-14.859112,-14.884692,-14.91541,-14.952214,-14.996183,-15.048531,-15.110579,-15.183731,-15.269397,-15.368885,-15.483249,-15.613081,-15.758286,-15.917896,-16.090006,-16.271961,-16.460804,-16.65389,-16.849388,-17.046432,-17.244976,-17.445503,-17.6488,-17.855816,-18.067585,-18.285168,-18.50965,-18.742123,-18.983635,-19.23506,-19.496935,-19.769354,Soma
-14.849583,-14.875201,-14.905967,-14.94283,-14.986874,-15.039313,-15.1014805,-15.174785,-15.260646,-15.36039,-15.47509,-15.605367,-15.7511635,-15.91156,-16.084707,-16.268011,-16.458574,-16.65379,-16.851837,-17.051825,-17.253586,-17.45737,-17.663576,-17.872622,-18.084915,-18.30085,-18.520798,-18.745087,-18.973907,-19.207266,-19.445017,-19.687057,Soma
-14.168824,-14.173936,-14.18008,-14.187452,-14.1962805,-14.206829,-14.219404,-14.234356,-14.252085,-14.273048,-14.297769,-14.326841,-14.36095,-14.400877,-14.447513,-14.50186,-14.565029,-14.638217,-14.722681,-14.819705,-14.930573,-15.056557,-15.198924,-15.358984,-15.538123,-15.73775,-15.958928,-16.201418,-16.461946,-16.732058,-16.99702,-17.238451,Spine
-13.444245,-13.456031,-13.469994,-13.486458,-13.505758,-13.528231,-13.554191,-13.583909,-13.617591,-13.655366,-13.697291,-13.743413,-13.793862,-13.849025,-13.909722,-13.977373,-14.054047,-14.142396,-14.245475,-14.366541,-14.508899,-14.675763,-14.870045,-15.093889,-15.347799,-15.629203,-15.930579,-16.238018,-16.532381,-16.7953,-17.017645,-17.202755,Spine
-14.633774,-14.647597,-14.664133,-14.683857,-14.707298,-14.73504,-14.7677,-14.805916,-14.850304,-14.901414,-14.959666,-15.025272,-15.098158,-15.177888,-15.263615,-15.354078,-15.44766,-15.542527,-15.636862,-15.729175,-15.818659,-15.905471,-15.990794,-16.076527,-16.164566,-16.25594,-16.350172,-16.445238,-16.538225,-16.626446,-16.708591,-16.78534,Spine
-13.9398575,-13.945585,-13.952515,-13.960895,-13.971023,-13.983252,-13.998005,-14.015786,-14.0371895,-14.062913,-14.093777,-14.13073,-14.174863,-14.227412,-14.289744,-14.363327,-14.449663,-14.550169,-14.665997,-14.797776,-14.945327,-15.107403,-15.281649,-15.464974,-15.654401,-15.8480215,-16.045284,-16.245876,-16.447483,-16.643965,-16.825844,-16.983871,Spine
-14.850304,-14.875955,-14.90676,-14.943672,-14.987778,-15.040297,-15.102562,-15.175992,-15.262013,-15.361964,-15.47693,-15.60755,-15.753793,-15.914773,-16.088696,-16.273043,-16.465038,-16.662252,-16.86309,-17.066929,-17.273891,-17.48451,-17.699501,-17.919641,-18.145742,-18.378603,-18.618967,-18.867523,-19.124992,-19.392296,-19.670618,-19.961212,Soma
