id,post_pt_root_id,tag,post_pt_position,hks_0,hks_1,hks_2,hks_3,hks_4,hks_5,hks_6,hks_7,hks_8,hks_9,hks_10,hks_11,hks_12,hks_13,hks_14,hks_15,hks_16,hks_17,hks_18,hks_19,hks_20,hks_21,hks_22,hks_23,hks_24,hks_25,hks_26,hks_27,hks_28,hks_29,hks_30,hks_31
121330,864691135465381701,shaft,[156080 192078  22169],4.292718841531425e-07,4.222181411705007e-07,4.138896406818993e-07,4.041112619937009e-07,3.9270799820635095e-07,3.7951713831953386e-07,3.644053671962603e-07,3.4729111877697714e-07,3.2817159386540574e-07,3.0715230662333e-07,2.8447484250666366e-07,2.6053598940093027e-07,2.3588934232699574e-07,2.1122026874946632e-07,1.872884548883911e-07,1.648402491020082e-07,1.4450477391328043e-07,1.2669920258952049e-07,1.1157300460750438e-07,9.901250023965478e-08,8.870577480405582e-08,8.024282032274696e-08,7.321153101194935e-08,6.725783423066667e-08,6.210328729831576e-08,5.7535692045519154e-08,5.3391740817478885e-08,4.9542121018957474e-08,4.5883663012241166e-08,4.233961497291828e-08,3.8862850305068723e-08,3.5434263036990266e-08
68164,864691135465381701,shaft,[162912 193076  20989],2.9500379609165875e-07,2.9079836592452967e-07,2.8583638331132493e-07,2.8001502988574914e-07,2.732317988787894e-07,2.653914906842549e-07,2.5641582466667047e-07,2.462556817698831e-07,2.3490540766181915e-07,2.2241771128991347e-07,2.0891655660451423e-07,1.9460433623014583e-07,1.7975907861057156e-07,1.6471823312836573e-07,1.4984835014078016e-07,1.3550463261324503e-07,1.2198939095672253e-07,1.0952103178118639e-07,9.82226275676455e-08,8.813129559636798e-08,7.922057230756337e-08,7.142357958586524e-08,6.464797288670751e-08,5.878174560849271e-08,5.369591585607128e-08,4.925112780575502e-08,4.530998064974006e-08,4.175035847074347e-08,3.847325400622977e-08,3.5402668943821585e-08,3.248082786823038e-08,2.9664391600365573e-08
122046,864691135465381701,shaft,[164806 222106  21939],5.066984593385684e-07,4.908421590325713e-07,4.724919326194951e-07,4.5146324614835265e-07,4.27647999800386e-07,4.010557551350385e-07,3.7185985145321587e-07,3.4044192700107467e-07,3.074237726079675e-07,2.736710113391644e-07,2.4025128059392937e-07,2.083341295396808e-07,1.7903439012932176e-07,1.5322554258239302e-07,1.3137674081478374e-07,1.1347905643101156e-07,9.910360871477317e-08,8.757486281170429e-08,7.81794253630311e-08,7.031631518231755e-08,6.354741279510192e-08,5.757799765927324e-08,5.2220458676306066e-08,4.736555339252802e-08,4.295655784700826e-08,3.896119877260159e-08,3.5347872972225766e-08,3.2075532522406345e-08,2.90986021054738e-08,2.6378168489456196e-08,2.388780702154184e-08,2.1609411587325092e-08
123916,864691135465381701,shaft,[163812 228902  20668],3.887226174558318e-07,3.7793364291643176e-07,3.653837062330967e-07,3.5091238405644525e-07,3.3439957347371166e-07,3.1579225960038874e-07,2.95136244058164e-07,2.7260977727517447e-07,2.485531867088237e-07,2.2348537995007945e-07,1.9809571635017888e-07,1.7320026291344217e-07,1.4965739471580192e-07,1.2825045914328483e-07,1.095624435936388e-07,9.38811267684845e-08,8.117124414944621e-08,7.11262419025834e-08,6.327607704146539e-08,5.710426136049091e-08,5.2135076251157095e-08,4.797966318142378e-08,4.434969559531789e-08,4.1050015930947934e-08,3.795958381034587e-08,3.500998994657236e-08,3.2168117614420225e-08,2.942475344946624e-08,2.678805842372898e-08,2.4279290154787855e-08,2.1927369554651024e-08,1.9760656599754467e-08
38119,864691135465381701,shaft,[174670 198580  20777],4.3012103668783706e-07,4.177606327085134e-07,4.033851228312903e-07,3.868141419482905e-07,3.679165554836473e-07,3.466431261322334e-07,3.2306575857962725e-07,2.974198627254802e-07,2.7014271363157265e-07,2.4189621623900596e-07,2.1355850496009087e-07,1.861679502528219e-07,1.6080918995915638e-07,1.384471340389371e-07,1.1974093266785706e-07,1.0489658278514169e-07,9.362543512289986e-08,8.524685301013989e-08,7.890693475563905e-08,7.381811483268864e-08,6.94124808047715e-08,6.536442713174902e-08,6.15232013485408e-08,5.782811423050263e-08,5.4249028863857074e-08,5.075583997093592e-08,4.730785225388641e-08,4.385626050277486e-08,4.035462759847389e-08,3.6772116150433016e-08,3.310450129094545e-08,2.9379413833561772e-08
39622,864691135465381701,shaft,[172878 220382  20590],2.590134451076361e-07,2.548761601182159e-07,2.5001285364096966e-07,2.4433253665922177e-07,2.3774813811999325e-07,2.3018398287784306e-07,2.215855200492177e-07,2.1193098938531945e-07,2.0124406240872755e-07,1.8960564858558125e-07,1.7716219886826688e-07,1.641273427346336e-07,1.5077406742047846e-07,1.3741628026505395e-07,1.243813229455555e-07,1.1197777368426352e-07,1.0046409166417262e-07,9.002259351194992e-08,8.074140174664678e-08,7.260706048031772e-08,6.551241565850911e-08,5.928342333293714e-08,5.3721055850675106e-08,4.8644958625411584e-08,4.392339652627811e-08,3.948219712794578e-08,3.529677285379298e-08,3.1376913395716666e-08,2.7751546498431433e-08,2.445529586807178e-08,2.1516326216946023e-08,1.894589583873696e-08
40425,864691135465381701,spine,[172912 220744  20609],2.6634824420517624e-07,2.618252641017017e-07,2.5653265075066554e-07,2.5038450672630104e-07,2.4330417187375255e-07,2.352332866224654e-07,2.2614288021625509e-07,2.1604562350642452e-07,2.05007467328348e-07,1.9315583577245344e-07,1.8068073497315617e-07,1.6782522952887768e-07,1.5486351661746724e-07,1.4206870529285284e-07,1.296776011035125e-07,1.1786371817617293e-07,1.067287453859195e-07,9.631494097332219e-08,8.662983264895194e-08,7.766837357257808e-08,6.942232679178086e-08,6.187825951131391e-08,5.501315990421495e-08,4.879441070815543e-08,4.318370078190243e-08,3.814086199577027e-08,3.3625778927536654e-08,2.9599837845710978e-08,2.602826100582935e-08,2.2881862597787423e-08,2.0135456959774215e-08,1.776241755459764e-08
122470,864691135465381701,shaft,[172792 228592  20638],2.9124840669896074e-07,2.8465241401912703e-07,2.770021323345671e-07,2.6821057824966325e-07,2.5821818678593903e-07,2.470086001731582e-07,2.3462635222291594e-07,2.2119395015185444e-07,2.06924115864199e-07,1.921213103589233e-07,1.7716609173833556e-07,1.6247777360106186e-07,1.4845658071005732e-07,1.3541594883278328e-07,1.2352556764612892e-07,1.1278941688520993e-07,1.0307331708836067e-07,9.41735590814795e-08,8.589503066691248e-08,7.810305038475049e-08,7.073358356228347e-08,6.377370602127019e-08,5.7234985536771536e-08,5.113450773554853e-08,4.54863268929726e-08,4.02999772491633e-08,3.558176554903986e-08,3.133574790886396e-08,2.7562525234851357e-08,2.425507238757993e-08,2.1392905040345266e-08,1.893841530431767e-08
123801,864691135465381701,shaft,[175806 198778  20719],3.3759487830121477e-07,3.2939536526917044e-07,3.198442140288488e-07,3.088104422796417e-07,2.961890494587186e-07,2.8191937250218145e-07,2.6600664165678726e-07,2.4854450549659245e-07,2.2973442676221474e-07,2.0989593329505867e-07,1.8946066194087924e-07,1.68944387911229e-07,1.488962170843193e-07,1.2983297289123332e-07,1.1217661650863988e-07,9.62166875133128e-08,8.211108456215119e-08,6.991706386908386e-08,5.962377756741256e-08,5.115861673714194e-08,4.4367581989561976e-08,3.9000921210432807e-08,3.473653585071807e-08,3.124192206496467e-08,2.8242173177430967e-08,2.5557539204166646e-08,2.3099039315252527e-08,2.083831349092752e-08,1.8775089435400733e-08,1.6914613007935834e-08,1.5255684764017776e-08,1.3786223218012571e-08
90091,864691135465381701,shaft,[176576 195682  20744],3.0114241991903397e-07,2.9438345562695855e-07,2.865296996279486e-07,2.774843925737241e-07,2.6717653029895165e-07,2.5557698086045405e-07,2.4271703202622374e-07,2.2870713815446388e-07,2.1375187996494833e-07,1.9815535117830247e-07,1.8231020691434152e-07,1.6666481752532426e-07,1.516678046591792e-07,1.3769804233430748e-07,1.2499857557944792e-07,1.1363883306910037e-07,1.0352372566772819e-07,9.444877297518034e-08,8.617694706608555e-08,7.850317843699204e-08,7.128574273778827e-08,6.444800891268663e-08,5.796721408832731e-08,5.1861895862984584e-08,4.617875940972549e-08,4.097585736327415e-08,3.630243210968507e-08,3.218041584670279e-08,2.8594381373881782e-08,2.549463516264045e-08,2.2812145647875744e-08,2.0477055787777563e-08
